timestamp;country;brand;fuel_code;fuel_name_raw;price_eur_l;dus_address;source_url;note
2026-06-11T18:03+03:00;LV;Neste;E98;Neste Futura 98;1.837;Lubānas 64, Kuldīgas 1, A.Deglava 51a, Latgales 427b;https://www.neste.lv/lv/content/degvielas-cenas;
2026-06-11T18:03+03:00;LV;Viada;DD;DD;1.744;DUS Dārzciema : Dārzciema iela 69, Rīga, DUS Dārzciema 2 : Dārzciema iela 62, Rīga;https://www.viada.lv/zemakas-degvielas-cenas/;Multiple DUS may share one price row
2026-06-11T18:03+03:00;LV;Viada;E85;E85;1.959;DUS Astras : G.Astras iela 7, Rīga, DUS Vecmīlgrāvis : Emmas iela 45, Rīga;https://www.viada.lv/zemakas-degvielas-cenas/;Multiple DUS may share one price row
2026-06-11T18:03+03:00;LV;Viada;E98;E98;1.762;ADUS Liepāja 2 : Zemnieku iela 58, Liepāja, ADUS Valdeķu : Valdeķu iela 34, Rīga, ADUS Saharova : Andreja Saharova iela 10, Rīga, ADUS Salaspils : Salaspils iela 4a, Rīga, ADUS Biķernieku : Vecā Biķernieku iela 1, Rīga, ADUS Valgales : Valgales iela 1, Rīga, ADUS Ulmaņa : Kārļa Ulmaņa gatve 67, Rīga;https://www.viada.lv/zemakas-degvielas-cenas/;Multiple DUS may share one price row
2026-06-11T18:03+03:00;LV;Viada;Ecto-95;Ecto-95;1.657;ADUS Liepāja 2 : Zemnieku iela 58, Liepāja, ADUS Valdeķu : Valdeķu iela 34, Rīga, ADUS Saharova : Andreja Saharova iela 10, Rīga, ADUS Salaspils : Salaspils iela 4a, Rīga, ADUS Biķernieku : Vecā Biķernieku iela 1, Rīga, ADUS Valgales : Valgales iela 1, Rīga, ADUS Ulmaņa : Kārļa Ulmaņa gatve 67, Rīga;https://www.viada.lv/zemakas-degvielas-cenas/;Multiple DUS may share one price row
2026-06-11T18:03+03:00;LV;Viada;Ecto-95+;Ecto-95+;1.682;ADUS Biķernieku : Vecā Biķernieku iela 1, Rīga;https://www.viada.lv/zemakas-degvielas-cenas/;Multiple DUS may share one price row
2026-06-11T18:03+03:00;LV;Viada;Ecto-DD;Ecto-DD;1.637;ADUS Liepāja 2 : Zemnieku iela 58, Liepāja, ADUS Valdeķu : Valdeķu iela 34, Rīga, ADUS Saharova : Andreja Saharova iela 10, Rīga, ADUS Salaspils : Salaspils iela 4a, Rīga, ADUS Biķernieku : Vecā Biķernieku iela 1, Rīga, ADUS Valgales : Valgales iela 1, Rīga, ADUS Ulmaņa : Kārļa Ulmaņa gatve 67, Rīga;https://www.viada.lv/zemakas-degvielas-cenas/;Multiple DUS may share one price row
2026-06-11T18:03+03:00;LV;Viada;LPG;LPG;0.835;ADUS Saharova : Andreja Saharova iela 10, Rīga, ADUS Valdeķu : Valdeķu iela 34, Rīga;https://www.viada.lv/zemakas-degvielas-cenas/;Multiple DUS may share one price row
2026-06-11T18:03+03:00;LV;Virši;CNG;CNG;1.646;Visā Viršu tīklā;https://www.virsi.lv/lv/privatpersonam/elektriba/degvielas-cena;
2026-06-11T18:03+03:00;LV;Virši;DD;DD;1.817;Brīvības gatve 297, RĪga, LV-1006;https://www.virsi.lv/lv/privatpersonam/elektriba/degvielas-cena;
